bpid,mlbid,Name,Year,Age,Team,Role,G,GS,IP,Pitches,,,,,,,,,,,,,,,,,,,,mlbid,Name,Year,Age,Team,Role,G,GS,IP,Pitches
68414,519443,Brandon Workman,2020,31,BOS,RP,7,0,6.7,121,,,,,,,,,,,,,,,,,,,,519443,Brandon Workman,2020,31,BOS,RP,7,0,6.7,121
68414,519443,Brandon Workman,2020,31,PHI,RP,14,0,13,274,,,,,,,,,,,,,,,,,,,,519443,Brandon Workman,2020,31,PHI,RP,14,0,13.0,274
109128,666129,Braxton Garrett,2020,22,MIA,SP,2,2,7.7,137,,,,,,,,,,,,,,,,,,,,666129,Braxton Garrett,2020,22,MIA,SP,2,2,7.7,137
100324,608718,Brent Suter,2020,30,MIL,RP,12,0,18.7,312,,,,,,,,,,,,,,,,,,,,608718,Brent Suter,2020,30,MIL,RP,12,0,18.7,312
100324,608718,Brent Suter,2020,30,MIL,SP,4,4,13,204,,,,,,,,,,,,,,,,,,,,608718,Brent Suter,2020,30,MIL,SP,4,4,13.0,204
57286,474463,Brett Anderson,2020,32,MIL,SP,10,10,47,752,,,,,,,,,,,,,,,,,,,,474463,Brett Anderson,2020,32,MIL,SP,10,10,47.0,752
68387,518649,Brett Eibner,2020,31,MIA,RP,3,0,3.3,68,,,,,,,,,,,,,,,,,,,,518649,Brett Eibner,2020,31,MIA,RP,3,0,3.3,68
104839,656685,Brett Martin,2020,25,TEX,RP,15,0,14.7,222,,,,,,,,,,,,,,,,,,,,656685,Brett Martin,2020,25,TEX,RP,15,0,14.7,222
60884,572383,Brian Moran,2020,31,MIA,RP,5,0,3.7,93,,,,,,,,,,,,,,,,,,,,572383,Brian Moran,2020,31,MIA,RP,5,0,3.7,93
60884,572383,Brian Moran,2020,31,TOR,RP,2,0,1,17,,,,,,,,,,,,,,,,,,,,572383,Brian Moran,2020,31,TOR,RP,2,0,1.0,17
59664,571788,Brock Holt,2020,32,WAS,RP,2,0,1.3,31,,,,,,,,,,,,,,,,,,,,571788,Brock Holt,2020,32,WAS,RP,2,0,1.3,31
108066,621139,Brooks Kriske,2020,26,NYY,RP,4,0,3.7,109,,,,,,,,,,,,,,,,,,,,621139,Brooks Kriske,2020,26,NYY,RP,4,0,3.7,109
59507,548384,Brooks Raley,2020,32,CIN,RP,4,0,4,81,,,,,,,,,,,,,,,,,,,,548384,Brooks Raley,2020,32,CIN,RP,4,0,4.0,81
59507,548384,Brooks Raley,2020,32,HOU,RP,17,0,16,255,,,,,,,,,,,,,,,,,,,,548384,Brooks Raley,2020,32,HOU,RP,17,0,16.0,255
111081,669145,Bruce Zimmermann,2020,25,BAL,RP,1,0,4,54,,,,,,,,,,,,,,,,,,,,669145,Bruce Zimmermann,2020,25,BAL,RP,1,0,4.0,54
111081,669145,Bruce Zimmermann,2020,25,BAL,SP,1,1,3,53,,,,,,,,,,,,,,,,,,,,669145,Bruce Zimmermann,2020,25,BAL,SP,1,1,3.0,53
106074,660813,Brusdar Graterol,2020,21,LAD,RP,21,0,21,264,,,,,,,,,,,,,,,,,,,,660813,Brusdar Graterol,2020,21,LAD,RP,21,0,21.0,264
106074,660813,Brusdar Graterol,2020,21,LAD,SP,2,2,2.3,27,,,,,,,,,,,,,,,,,,,,660813,Brusdar Graterol,2020,21,LAD,SP,2,2,2.3,27
